Video File,Device,Video App,Camera options,Location App,Notes,GB,FPS,Resolution,Lens,Camera mount,Vehicle,Camera mount position,Camera orientation,Horizontal angle,Vertical angle,id
20200625_115358.mp4,Samsung Gallaxy S10,Camera,Standard lens; video stabilization,GPSLogger,,,30,2280x1080,standard,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,-45,about +10,9a460d82-0d12-4648-95a4-f9d9e249da1f
20200625_125121.mp4,Samsung Gallaxy S10,Camera,Standard lens; video stabilization,GPSLogger,,,30,2280x1080,standard,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,portrait,-45,about +10,665ebc9a-176b-4140-8b41-d77ec5f5b88c
20200627_120547.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above center of windshield,landscape,0,-10,e91dea91-68d0-411c-8ce2-0cda368c7a8d
20200627_121356.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above center of windshield,landscape,45,-10,afed8b8c-a9bf-492b-b6b3-34317d5999b9
20200627_132415.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10,640e2ca9-474c-4147-8404-6ed9f850972e
20200627_132658.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10,a173062c-82da-4a2b-845d-28fb5d713e06
20200627_132956.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10,303e0d60-f704-49cb-90b7-82d58493da5e
20200627_133255.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10,ca4585bf-e4b6-4dd4-bc53-6f9094327500
20200627_133816.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11,9efad967-e842-4600-8753-5f1153ba6089
20200627_134058.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11,a9146f65-2ca3-4444-8514-f428d79d3d07
20200627_134357.mp4,Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11,0e54f174-b8ac-4323-9697-1c849d1490ea
